!sil 1.0	sil
--can-sego/canseco- 1.0	s eh g ow
grower 1.0	g r ow er
growing 1.0	g r ow ih ng
growl 1.0	g r aw l
growled 1.0	g r aw l d
growling 1.0	g r aw l ih ng
growls 1.0	g r aw l z
grown 1.0	g r ow n
grown-up 1.0	g r ow n ah p
grown-ups 1.0	g r ow n ah p s
grows 1.0	g r ow z
growth 1.0	g r ow th
grub 1.0	g r ah b
grubs 1.0	g r ah b z
grudge 1.0	g r ah jh
grudgingly 1.0	g r ah jh ih ng l iy
grudman 1.0	g r uh d m ae n
gruesome 1.0	g r uw s ax m
grumble 1.0	g r ah m b ax l
grumbled 1.0	g r ah m b ax l d
grumbling 1.0	g r ah m b ax l ih ng
grump 1.0	g r ah m p
grumpy 1.0	g r ah m p iy
grungy 1.0	g r ah n jh iy
grunt 1.0	g r ah n t
grunted 1.0	g r ah n t ih d
grunts 1.0	g r ah n t s
gt1 1.0	jh iy t iy w ah n
gu-n- 1.0	g ah
gu-ns- 1.0	g ah
guacamo-le- 1.0	g w aa k ax m ow
guacamole 1.0	g w aa k ax m ow l iy
guadalupe 1.0	g w aa d ax l uw p
guam 1.0	g w aa m
guarantee 1.0	g ae r ih n t iy
guaranteed 1.0	g ae r ih n t iy d
guaranteeing 1.0	g ae r ih n t iy ih ng
guarantees 1.0	g ae r ih n t iy z
guaranties 1.0	g ae r ih n t iy z
guaranty 1.0	g ae r ih n t iy
guard 1.0	g aa r d
guarded 1.0	g aa r d ih d
guarding 1.0	g aa r d ih ng
guards 1.0	g aa r d z
guate-mala- 1.0	g w aa t ax
guatemala 1.0	g w aa t ax m aa l ax
guatemalan 1.0	g w aa t ax m aa l ax n
guathier 1.0	g w aa th iy ax r
gubernatorial 1.0	g uw b er n ax t ow r iy ax l
gue-ss- 1.0	g eh
guerillas 1.0	g ax r ih l ax z
guerrilla 1.0	g ax r ih l ax
guess 1.0	g eh s
guessed 1.0	g eh s t
guesses 1.0	g eh s ih z
guessing 1.0	g eh s ih ng
guesstimate 1.0	g eh s t ih m ey t
guesswork 1.0	g eh s w er k
guest 1.0	g eh s t
guests 1.0	g eh s t s
guetison 1.0	g w eh t ih s ax n
gui-lty- 1.0	g ih
guidance 1.0	g ay d ih n s
guide 1.0	g ay d
guided 1.0	g ay d ih d
guideline 1.0	g ay d l ay n
guidelines 1.0	g ay d l ay n z
guides 1.0	g ay d z
guiding 1.0	g ay d ih ng
guild 1.0	g ih l d
guilt 1.0	g ih l t
guiltier 1.0	g ih l t iy er
guilty 1.0	g ih l t iy
guinea 1.0	g ih n iy
guise 1.0	g ay z
guises 1.0	g ay z ih z
guitar 1.0	g ih t aa r
guitarist 1.0	g ih t aa r ih s t
guitars 1.0	g ih t aa r z
gul-f- 1.0	g ah l
gulf 1.0	g ah l f
gullibility 1.0	g ah l ax b ih l ih t iy
gullible 1.0	g ah l ax b ax l
gullies 1.0	g ah l iy z
gully 1.0	g ah l iy
gum 1.0	g ah m
gumbo 1.0	g ah m b ow
gummed 1.0	g ah m d
gummy 1.0	g ah m iy
gun 1.0	g ah n
gun's 1.0	g ah n z
gun-s- 1.0	g ah n
gunfire 1.0	g ah n f ay r
gung 1.0	g ah ng
gunman 1.0	g ah n m ax n
gunmen 1.0	g ah n m eh n
gunned 1.0	g ah n d
gunner 1.0	g ah n er
gunnison 1.0	g ah n ih s ax n
guns 1.0	g ah n z
gunships 1.0	g ah n sh ih p s
gunshot 1.0	g ah n sh aa t
gunsmith 1.0	g ah n s m ih th
guppies 1.0	g ah p iy z
gurkha 1.0	g uh r k ax
guru 1.0	g uw r uw
gusts 1.0	g ah s t s
gut 1.0	g ah t
guts 1.0	g ah t s
gutsy 1.0	g ah t s iy
gutter 1.0	g ah t er
guttering 1.0	g ah t ax r ih ng
gutters 1.0	g ah t er z
guy 1.0	g ay
guy's 1.0	g ay z
guy-s- 1.0	g ay
guys 1.0	g ay z
guys'll 1.0	g ay z ax l
guzzler 1.0	g ah z l er
guzzlers 1.0	g ah z l er z
gwinnete 1.0	g w ih n eh t
gym 1.0	jh ih m
gym's 1.0	jh ih m z
gymnasium 1.0	jh ih m n ey z iy ax m
gymnast 1.0	jh ih m n ae s t
gymnastics 1.0	jh ih m n ae s t ih k s
gyms 1.0	jh ih m z
gynecologist 1.0	g ay n ax k aa l ax jh ih s t
gynecologists 1.0	g ay n ax k aa l ax jh ih s t s
gypped 1.0	jh ih p t
gypsies 1.0	jh ih p s iy z
gypsy 1.0	jh ih p s iy
gyration 1.0	g ay r ey sh ih n
gyro 1.0	jh ay ow
h&r 1.0	ey ch ae n d aa r
h-ad- 1.0	hh
h-air- 1.0	hh
h-alf- 1.0	hh
h-andled- 1.0	hh
h-ang- 1.0	hh
h-appening- 1.0	hh
h-ard- 1.0	hh
h-as- 1.0	hh
h-assle- 1.0	hh
h-ave- 1.0	hh
h-aven't- 1.0	hh
h-aving- 1.0	hh
h-awaii- 1.0	hh
h-e'd- 1.0	hh
h-e's- 1.0	hh
h-e- 1.0	hh
h-ead- 1.0	hh
h-eadquartered- 1.0	hh
h-ealth- 1.0	hh
h-ear- 1.0	hh
h-eard- 1.0	hh
h-earing- 1.0	hh
h-eart- 1.0	hh
h-eavily- 1.0	hh
h-elped- 1.0	hh
h-er- 1.0	hh
h-ere- 1.0	hh
h-ey- 1.0	hh
h-i- 1.0	hh
h-igh- 1.0	hh
h-ighly- 1.0	hh
h-im- 1.0	hh
h-is- 1.0	hh
h-istory- 1.0	hh
h-mos- 1.0	ey ch
h-obbies- 1.0	hh
h-old- 1.0	hh
h-oldout- 1.0	hh
h-ome- 1.0	hh
h-ope- 1.0	hh
h-opefully- 1.0	hh
h-oping- 1.0	hh
h-orrible- 1.0	hh
h-ose- 1.0	hh
h-ospital- 1.0	hh
h-ot- 1.0	hh
h-ouse- 1.0	hh
h-ouston- 1.0	hh
h-ow- 1.0	hh
h-owever- 1.0	hh
h-uman- 1.0	hh
h-unt- 1.0	hh
h-urricanes- 1.0	hh
h-usband- 1.0	hh
h. 1.0	ey ch
h._b._o. 1.0	ey ch b iy ow
h._d._a. 1.0	ey ch d iy ey
h._d._l.s 1.0	ey ch d iy eh l z
h._d._t._v. 1.0	ey ch d iy t iy v iy
h._e._b. 1.0	ey ch iy b iy
h._e._c. 1.0	ey ch iy s iy
h._e._i. 1.0	ey ch iy ay
h._e._w. 1.0	ey ch iy d ah b ax l y uw
h._i._v. 1.0	ey ch ay v iy
h._m._o. 1.0	ey ch eh m ow
h._m._o.'s 1.0	ey ch eh m ow z
h._m._o.s 1.0	ey ch eh m ow z
h._p. 1.0	ey ch p iy
h._s._e. 1.0	ey ch eh s iy
h._s._e._n. 1.0	ey ch eh s iy eh n
h2s 1.0	ey ch t uw eh s
ha 1.0	hh aa
ha-bits- 1.0	hh ae
ha-d- 1.0	hh ae
ha-dn't- 1.0	hh ae
ha-ha 1.0	hh aa hh aa
ha-lf- 1.0	hh ae
ha-ll- 1.0	hh ao
ha-mmerstein- 1.0	hh ae
ha-ndgun- 1.0	hh ae
ha-ndling- 1.0	hh ae
ha-ppen- 1.0	hh ae
ha-ppened- 1.0	hh ae
ha-ppens- 1.0	hh ae
ha-ppier- 1.0	hh ae
ha-ppily- 1.0	hh ae
ha-ppy- 1.0	hh ae
ha-rd- 1.0	hh aa
ha-s- 1.0	hh ae
ha-te- 1.0	hh ey
ha-ted- 1.0	hh ey
ha-ts- 1.0	hh ae
ha-ve- 1.0	hh ae
ha-ven't- 1.0	hh ae
ha-ving- 1.0	hh ae
haas's 1.0	hh aa s ih z
hab-it- 1.0	hh ae b
haberdashery 1.0	hh ae b er d ae sh ax r iy
habit 1.0	hh ae b ih t
habitable 1.0	hh ae b ih t ax b ax l
habitat 1.0	hh ae b ih t ae t
habits 1.0	hh ae b ih t s
habitual 1.0	hh ax b ih ch uw ax l
habituating 1.0	hh ax b ih ch uw ey t ih ng
hack 1.0	hh ae k
hacked 1.0	hh ae k t
hackel 1.0	hh ae k ax l
hacker 1.0	hh ae k er
hackers 1.0	hh ae k er z
hacking 1.0	hh ae k ih ng
hackman 1.0	hh ae k m ax n
hackman's 1.0	hh ae k m ax n z
had 1.0	hh ae d
had-n't- 1.0	hh ae d
hadite 1.0	hh ae d ay t
hadn't 1.0	hh ae d en t
hafaia 1.0	hh ax f ay ax
hafford 1.0	hh ae f er d
haggard 1.0	hh ae g er d
haggerty 1.0	hh ae g er t iy
hagman's 1.0	hh ae g m ae n z
hai-r- 1.0	hh ey
hail 1.0	hh ey l
hail's 1.0	hh ey l s
hailed 1.0	hh ey l d
hails 1.0	hh ey l z
hailstorm 1.0	hh ey l s t ow r m
hair 1.0	hh ey r
hair-spray- 1.0	hh ey r
haircut 1.0	hh ey r k ah t
haircuts 1.0	hh ey r k ah t s
hairdo 1.0	hh ey r d uw
hairdresser 1.0	hh ey r d r eh s er
haired 1.0	hh ey r d
hairless 1.0	hh ey r l ih s
hairs 1.0	hh ey r z
hairspray 1.0	hh ey r s p r ey
hairstyles 1.0	hh ey r s t ay l z
hairy 1.0	hh ey r iy
haiti 1.0	hh ey t iy
haitian 1.0	hh ey sh ih n
haitians 1.0	hh ey sh ih n z
hakeem 1.0	hh ax k iy m
hal 1.0	hh ae l
halen 1.0	hh ey l eh n
half 1.0	hh ae f
half's 1.0	hh ae f s
half-and-half 1.0	hh ae f ax n hh ae f
half-dayers 1.0	hh ae f d ey er z
half-hour 1.0	hh ae f aw er
half-life 1.0	hh ae f l ay f
halftime 1.0	hh ae f t ay m
halfway 1.0	hh ae f w ey
halibut 1.0	hh ae l ih b ax t
hall 1.0	hh ao l
hallmark 1.0	hh ao l m aa r k
halloween 1.0	hh ae l ax w iy n
halls 1.0	hh ao l z
hallucinogen 1.0	hh ax l uw s ih n ax jh eh n
hallway 1.0	hh ao l w ey
hallways 1.0	hh ao l w ey z
halogen 1.0	hh ae l ax jh ih n
halston 1.0	hh ao l s t ax n
halt 1.0	hh ao l t
halted 1.0	hh ao l t ih d
halter 1.0	hh ao l t er
halters 1.0	hh ao l t er z
halves 1.0	hh ae v z
ham 1.0	hh ae m
ham's 1.0	hh ae m z
hamburger 1.0	hh ae m b er g er
hamburgers 1.0	hh ae m b er g er z
hamilt-on- 1.0	hh ae m ih l t
hamilton 1.0	hh ae m ih l t ax n
hamlin 1.0	hh ae m l ih n
hamlin's 1.0	hh ae m l ih n z
hammer 1.0	hh ae m er
hammered 1.0	hh ae m er d
hammering 1.0	hh ae m ax r ih ng
hammers 1.0	hh ae m er z
hammerstein 1.0	hh ae m er s t ay n
hammerstein's 1.0	hh ae m er s t ay n z
hammock 1.0	hh ae m ax k
hammond 1.0	hh ae m ax n d
hamp-shire- 1.0	hh ae m p
hamper 1.0	hh ae m p er
hampered 1.0	hh ae m p er d
hampers 1.0	hh ae m p er z
hampshire 1.0	hh ae m p sh er
hampton 1.0	hh ae m p t ax n
hams 1.0	hh ae m z
hamster 1.0	hh ae m s t er
hamsters 1.0	hh ae m s t er z
hamstring's 1.0	hh ae m s t r ih ng z
hamstrings 1.0	hh ae m s t r ih ng z
hamstrung 1.0	hh ae m s t r ah ng
han-cock- 1.0	hh ae ng
han-d- 1.0	hh ae n
han-ds- 1.0	hh ae n
hancock 1.0	hh ae ng k aa k
hand 1.0	hh ae n d
hand's 1.0	hh ae n d z
hand-le- 1.0	hh ae n d
hand-me-downs 1.0	hh ae n d m iy d aw n z
hand-offs 1.0	hh ae n d ao f s
handbag 1.0	hh ae n d b ae g
handbags 1.0	hh ae n d b ae g z
handball 1.0	hh ae n d b ao l
handbells 1.0	hh ae n d b eh l z
handbook 1.0	hh ae n d b uh k
handcraft 1.0	hh ae n d k r ae f t
handcrafted 1.0	hh ae n d k r ae f t ih d
handcrafts 1.0	hh ae n d k r ae f t s
handcuffed 1.0	hh ae n d k ah f t
handcuffs 1.0	hh ae n d k ah f s
handed 1.0	hh ae n d ih d
handel 1.0	hh ae n d ax l
hander 1.0	hh ae n d er
handful 1.0	hh ae n d f ax l
handgun 1.0	hh ae n d g ah n
handguns 1.0	hh ae n d g ah n z
handheld 1.0	hh ae n d hh eh l d
handicap 1.0	hh ae n d ih k ae p
handicap's 1.0	hh ae n d ih k ae p s
handicapped 1.0	hh ae n d ih k ae p t
handicappers 1.0	hh ae n d ih k ae p er z
handicaps 1.0	hh ae n d ih k ae p s
handicraft 1.0	hh ae n d iy k r ae f t
handicrafts 1.0	hh ae n d iy k r ae f t s
handier 1.0	hh ae n d iy er
handing 1.0	hh ae n d ih ng
handle 1.0	hh ae n d ax l
handlebars 1.0	hh ae n d ax l b aa r z
handled 1.0	hh ae n d ax l d
handler 1.0	hh ae n d l er
handlers 1.0	hh ae n d l er z
handles 1.0	hh ae n d ax l z
handling 1.0	hh ae n d l ih ng
handmade 1.0	hh ae n d m ey d
handout 1.0	hh ae n d aw t
handouts 1.0	hh ae n d aw t s
handprints 1.0	hh ae n d p r ih n t s
hands 1.0	hh ae n d z
handsaw 1.0	hh ae n d s ao
handshaking 1.0	hh ae n d sh ey k ih ng
handsome 1.0	hh ae n s ax m
handwriting 1.0	hh ae n d r ay t ih ng
handwriting's 1.0	hh ae n d r ay t ih ng z
handwritten 1.0	hh ae n d r ih t ih n
handy 1.0	hh ae n d iy
handyman 1.0	hh ae n d iy m ae n
hang 1.0	hh ae ng
hang-ing- 1.0	hh ae ng
hang-up 1.0	hh ae ng ah p
hang-ups 1.0	hh ae ng ah p s
hanged 1.0	hh ae ng d
hangers 1.0	hh ae ng er z
hanging 1.0	hh ae ng ih ng
hangings 1.0	hh ae ng ih ng z
hangout 1.0	hh ae ng aw t
hangouts 1.0	hh ae ng aw t s
hangover 1.0	hh ae ng ow v er
hangs 1.0	hh ae ng z
hank 1.0	hh ae ng k
hankering 1.0	hh ae ng k ax r ih ng
hanky 1.0	hh ae ng k iy
hanky-panky 1.0	hh ae ng k iy p ae ng k iy
hannah 1.0	hh ae n ax
hannibal 1.0	hh ae n ih b ax l
hansen 1.0	hh ae n s ax n
haphazard 1.0	hh ae p hh ae z er d
haphazardly 1.0	hh ae p hh ae z er d l iy
happ-en- 1.0	hh ae p
happ-ened- 1.0	hh ae p
happ-enings- 1.0	hh ae p
happ-ens- 1.0	hh ae p
happen 1.0	hh ae p ax n
happen-s- 1.0	hh ae p ax n
happened 1.0	hh ae p ax n d
happening 1.0	hh ae p ax n ih ng
happenings 1.0	hh ae p ax n ih ng z
happens 1.0	hh ae p ax n z
happier 1.0	hh ae p iy er
happiest 1.0	hh ae p iy ih s t
happily 1.0	hh ae p ih l iy
happiness 1.0	hh ae p iy n ih s
happy 1.0	hh ae p iy
har-d- 1.0	hh aa r
har-dly- 1.0	hh aa r
har-ming- 1.0	hh aa r
harassed 1.0	hh ae r ih s t
harassing 1.0	hh ae r ih s ih ng
harassment 1.0	hh ae r ih s m ih n t
harbor 1.0	hh aa r b er
harboring 1.0	hh aa r b ax r ih ng
harbors 1.0	hh aa r b er z
hard 1.0	hh aa r d
hard-core 1.0	hh aa r d k ow r
hard-ly- 1.0	hh aa r d
hard-nosed 1.0	hh aa r d n ow z d
hardaway 1.0	hh aa r d ax w ey
hardback 1.0	hh aa r d b ae k
hardcovers 1.0	hh aa r d k ah v er z
hardened 1.0	hh aa r d ih n d
hardening 1.0	hh aa r d ih n ih ng
harder 1.0	hh aa r d er
hardest 1.0	hh aa r d ih s t
hardier 1.0	hh aa r d iy er
hardly 1.0	hh aa r d l iy
hardship 1.0	hh aa r d sh ih p
hardships 1.0	hh aa r d sh ih p s
hardware 1.0	hh aa r d w ey r
hardwood 1.0	hh aa r d w uh d
hardwoods 1.0	hh aa r d w uh d z
hardy 1.0	hh aa r d iy
harem 1.0	hh eh r ax m
hari 1.0	hh aa r iy
harks 1.0	hh aa r k s
harlins 1.0	hh aa r l ih n s
harm 1.0	hh aa r m
harmed 1.0	hh aa r m d
harmful 1.0	hh aa r m f ax l
harmfulness 1.0	hh aa r m f ax l n ih s
harming 1.0	hh aa r m ih ng
harmless 1.0	hh aa r m l ih s
harmon 1.0	hh aa r m ax n
harmonic 1.0	hh aa r m aa n ih k
harmonies 1.0	hh aa r m ax n iy z
harmoniously 1.0	hh aa r m ow n iy ih s l iy
harmony 1.0	hh aa r m ax n iy
harness 1.0	hh aa r n ih s
harold 1.0	hh ae r ax l d
harp 1.0	hh aa r p
harper 1.0	hh aa r p er
harper's 1.0	hh aa r p er z
harpers 1.0	hh aa r p er z
harping 1.0	hh aa r p ih ng
harpist 1.0	hh aa r p ih s t
harpsichord 1.0	hh aa r p s ih k ow r d
harpsichordist 1.0	hh aa r p s ih k ow r d ih s t
harra 1.0	hh ae r ax
harried 1.0	hh ae r iy d
harris 1.0	hh ae r ih s
harrisburg 1.0	hh ae r ih s b er g
harrison 1.0	hh ae r ih s ax n
harrisville 1.0	hh ae r ih s v ih l
harry 1.0	hh ae r iy
harsh 1.0	hh aa r sh
harsher 1.0	hh aa r sh er
hart 1.0	hh aa r t
hartford 1.0	hh aa r t f er d
harvard 1.0	hh aa r v er d
harvest 1.0	hh aa r v ih s t
harvesting 1.0	hh aa r v ih s t ih ng
harvey 1.0	hh aa r v iy
harvey's 1.0	hh aa r v iy z
has 1.0	hh ae z
hashing 1.0	hh ae sh ih ng
hasn't 1.0	hh ae z ih n t
hassle 1.0	hh ae s ax l
hassled 1.0	hh ae s ax l d
hassles 1.0	hh ae s ax l z
hastily 1.0	hh ey s t ih l iy
hastings 1.0	hh ey s t ih ng z
hasty 1.0	hh ey s t iy
hat 1.0	hh ae t
hat's 1.0	hh ae t s
hatchback 1.0	hh ae ch b ae k
hatchbacks 1.0	hh ae ch b ae k s
hatcher 1.0	hh ae ch er
hatchery 1.0	hh ae ch ax r iy
hatchet 1.0	hh ae ch ih t
hate 1.0	hh ey t
hated 1.0	hh ey t ih d
hateful 1.0	hh ey t f ax l
hater 1.0	hh ey t er
hates 1.0	hh ey t s
hating 1.0	hh ey t ih ng
hatred 1.0	hh ey t r ih d
hats 1.0	hh ae t s
hatteras 1.0	hh ae t ax r ih s
hattiesburg 1.0	hh ae t ih s b er g
hattiesburg's 1.0	hh ae t ih s b er g z
haughty 1.0	hh ao t iy
haul 1.0	hh ao l
hauled 1.0	hh ao l d
haulers 1.0	hh ao l er z
hauling 1.0	hh ao l ih ng
hauls 1.0	hh ao l z
haunt 1.0	hh ao n t
haunted 1.0	hh ao n t ih d
haunting 1.0	hh ao n t ih ng
haunts 1.0	hh ao n t s
hausners 1.0	hh aw z n er z
haute 1.0	hh ao t
hav-en't- 1.0	hh ae v
hav-ing- 1.0	hh ae v
havana 1.0	hh ax v ae n ax
have 1.0	hh ae v
have-n't- 1.0	hh ae v
haven 1.0	hh ey v ax n
haven't 1.0	hh ae v ax n t
haves 1.0	hh ae v z
having 1.0	hh ae v ih ng
havoc 1.0	hh ae v ax k
hawaii 1.0	hh ax w ay iy
hawaiian 1.0	hh ax w ay ih n
hawk 1.0	hh ao k
hawks 1.0	hh ao k s
hawthorne 1.0	hh ao th ow r n
hawthornes 1.0	hh ao th ow r n z
hay 1.0	hh ey
hayes 1.0	hh ey z
hayloft 1.0	hh ey l ao f t
hays 1.0	hh ey z
haywire 1.0	hh ey w ay r
haywood 1.0	hh ey w uh d
hazard 1.0	hh ae z er d
hazardous 1.0	hh ae z er d ih s
hazards 1.0	hh ae z er d z
haze 1.0	hh ey z
hazy 1.0	hh ey z iy
he 1.0	hh iy
he'd 1.0	hh iy d
he'll 1.0	hh iy l
he's 1.0	hh iy z
he-'ll- 1.0	hh iy
he-'s- 1.0	hh iy
he-ar- 1.0	hh iy
he-ard- 1.0	hh
he-ctic- 1.0	hh eh
he-dge- 1.0	hh eh
he-llo- 1.0	hh ax
he-man 1.0	hh iy m ae n
he-r- 1.0	hh
he-re- 1.0	hh iy
hea-d- 1.0	hh eh
hea-ling- 1.0	hh iy l
hea-lth- 1.0	hh eh
hea-r- 1.0	hh iy
hea-ted- 1.0	hh iy
head 1.0	hh eh d
head's 1.0	hh eh d z
headache 1.0	hh eh d ey k
headaches 1.0	hh eh d ey k s
headbands 1.0	hh eh d b ae n d z
headboard 1.0	hh eh d b ow r d
headed 1.0	hh eh d ih d
header 1.0	hh eh d er
heading 1.0	hh eh d ih ng
headlamp 1.0	hh eh d l ae m p
headlights 1.0	hh eh d l ay t s
headline 1.0	hh eh d l ay n
headlines 1.0	hh eh d l ay n z
headphones 1.0	hh eh d f ow n z
headquartered 1.0	hh eh d k ow r t er d
headquarters 1.0	hh eh d k ow r t er z
heads 1.0	hh eh d z
headset 1.0	hh eh d s eh t
headstart 1.0	hh eh d s t aa r t
headwaters 1.0	hh eh d w ao t er z
heal 1.0	hh iy l
heal-th- 1.0	hh eh l
healed 1.0	hh iy l d
healing 1.0	hh iy l ih ng
heals 1.0	hh iy l z
health 1.0	hh eh l th
health-ier- 1.0	hh eh l th
healthier 1.0	hh eh l th iy er
healthiest 1.0	hh eh l th iy ih s t
healthily 1.0	hh eh l th ih l iy
healthy 1.0	hh eh l th iy
heap 1.0	hh iy p
heaped 1.0	hh iy p t
hear 1.0	hh iy r
hear-d- 1.0	hh er
heard 1.0	hh er d
hearing 1.0	hh iy r ih ng
hearings 1.0	hh iy r ih ng z
hears 1.0	hh iy r z
hearsay 1.0	hh iy r s ey
hearst 1.0	hh er s t
heart 1.0	hh aa r t
heart-to-heart 1.0	hh aa r t ax hh aa r t
heartache 1.0	hh aa r t ey k
heartbeat 1.0	hh aa r t b iy t
heartbeats 1.0	hh aa r t b iy t s
heartbreaking 1.0	hh aa r t b r ey k ih ng
heartburn 1.0	hh aa r t b er n
hearted 1.0	hh aa r t ih d
heartedly 1.0	hh aa r t ih d l iy
heartless 1.0	hh aa r t l ih s
heartrending 1.0	hh aa r t r eh n d ih ng
hearts 1.0	hh aa r t s
heartwise 1.0	hh aa r t w ay z
hearty 1.0	hh aa r t iy
heat 1.0	hh iy t
heated 1.0	hh iy t ih d
heater 1.0	hh iy t er
heaters 1.0	hh iy t er z
heath 1.0	hh iy th
heathers 1.0	hh eh dh er z
heating 1.0	hh iy t ih ng
heats 1.0	hh iy t s
heave 1.0	hh iy v
heaven 1.0	hh eh v ax n
heaven's 1.0	hh eh v ax n z
heavenly 1.0	hh eh v ax n l iy
heavens 1.0	hh eh v ax n z
heavier 1.0	hh eh v iy er
heaviest 1.0	hh eh v iy ih s t
heavily 1.0	hh eh v ax l iy
heavily 1.0	hh eh v ih l iy
heavy 1.0	hh eh v iy
heavyset 1.0	hh eh v iy s eh t
hebert 1.0	hh ey b er t
heck 1.0	hh eh k
heck's 1.0	hh eh k s
hectic 1.0	hh eh k t ih k
hedge 1.0	hh eh jh
hedger's 1.0	hh eh jh er z
hedges 1.0	hh eh jh ih z
hedging 1.0	hh eh jh ih ng
heed 1.0	hh iy d
heel 1.0	hh iy l
heeley 1.0	hh iy l iy
heels 1.0	hh iy l z
hefty 1.0	hh eh f t iy
heifer 1.0	hh eh f er
height 1.0	hh ay t
heightened 1.0	hh ay t en d
heights 1.0	hh ay t s
heinlien 1.0	hh ay n l ay n
heinous 1.0	hh ey n ih s
heinz 1.0	hh ay n z
heirlooms 1.0	ey r l uw m z
heirs 1.0	ey r z
heisman 1.0	hh ay z m ax n
hel-ps- 1.0	hh eh l
held 1.0	hh eh l d
helen 1.0	hh eh l ax n
helen's 1.0	hh eh l ax n z
helicopter 1.0	hh eh l ih k aa p t er
helicopters 1.0	hh eh l ih k aa p t er z
hell 1.0	hh eh l
hell's 1.0	hh eh l z
hellacious 1.0	hh ax l ey sh ih s
hellish 1.0	hh eh l ih sh
hello 1.0	hh ax l ow
helm 1.0	hh eh l m
helman's 1.0	hh eh l m ax n z
helmet 1.0	hh eh l m ih t
helms 1.0	hh eh l m z
helmsley 1.0	hh eh l m z l iy
help 1.0	hh eh l p
help-ful- 1.0	hh eh l p
helped 1.0	hh eh l p t
helper 1.0	hh eh l p er
helpers 1.0	hh eh l p er z
helpful 1.0	hh eh l p f ax l
helping 1.0	hh eh l p ih ng
helpless 1.0	hh eh l p l ih s
helplessness 1.0	hh eh l p l ih s n ih s
helps 1.0	hh eh l p s
hem 1.0	hh eh m
hemisphere 1.0	hh eh m ih s f iy r
hemmed 1.0	hh eh m d
hemorrhaging 1.0	hh eh m ax r ih jh ih ng
hemorrhoids 1.0	hh eh m ax r oy d z
hence 1.0	hh eh n s
henderson 1.0	hh eh n d er s ax n
hendrick 1.0	hh eh n d r ih k
hendrix 1.0	hh eh n d r ih k s
henley 1.0	hh eh n l iy
henpecked 1.0	hh eh n p eh k t
henry 1.0	hh eh n r iy
hens 1.0	hh eh n z
hep 1.0	hh eh p
hepatitis 1.0	hh eh p ax t ay t ih s
hepburn 1.0	hh eh p b er n
her 1.0	hh er
her's 1.0	hh er z
her-self- 1.0	hh er
herald 1.0	hh eh r ax l d
herb 1.0	er b
herbal 1.0	er b ax l
herbs 1.0	er b z
herd 1.0	hh er d
herding 1.0	hh er d ih ng
here 1.0	hh iy r
here's 1.0	hh iy r z
hereafter 1.0	hh iy r ae f t er
hereditary 1.0	hh ax r eh d ih t eh r iy
heretic 1.0	hh eh r ih t ih k
heritage 1.0	hh eh r ih t ih jh
herman 1.0	hh er m ax n
herman's 1.0	hh er m ax n z
hermit 1.0	hh er m ih t
hermits 1.0	hh er m ih t s
hernia 1.0	hh er n iy ax
hero 1.0	hh iy r ow
heroes 1.0	hh iy r ow z
heroic 1.0	hh eh r ow ih k
heroin 1.0	hh eh r ow ih n
heroized 1.0	hh iy r ow ay z d
herring 1.0	hh eh r ih ng
hers 1.0	hh er z
herschel 1.0	hh er sh ax l
herself 1.0	hh er s eh l f
hershel 1.0	hh er sh ax l
hershey 1.0	hh er sh iy
hershiser 1.0	hh er sh ih s er
hertz 1.0	hh er t s
hesitancy 1.0	hh eh z ih t ih n s iy
hesitant 1.0	hh eh z ih t ih n t
hesitantly 1.0	hh eh z ih t ih n t l iy
hesitate 1.0	hh eh z ih t ey t
hesitated 1.0	hh eh z ih t ey t ih d
hesitating 1.0	hh eh z ih t ey t ih ng
hesitation 1.0	hh eh z ih t ey sh ih n
heston 1.0	hh eh s t ax n
heterosexual 1.0	hh eh t ax r ow s eh k sh uw ax l
heterosexuals 1.0	hh eh t ax r ow s eh k sh uw ax l z
hewett 1.0	hh y uw ih t
hewlett 1.0	hh y uw l ih t
hewn 1.0	hh y uw n
hey 1.0	hh ey
heyday 1.0	hh ey d ey
hi 1.0	hh ay
hi-atus- 1.0	hh ay
hi-biscus- 1.0	hh ih
hi-de- 1.0	hh ay
hi-fi 1.0	hh ay f ay
hi-gh- 1.0	hh
hi-ll- 1.0	hh ih
hi-lls- 1.0	hh ih
hi-m- 1.0	hh ih
hi-re- 1.0	hh ay
hi-s- 1.0	hh ih
hi-spanics- 1.0	hh ih s p ae n ih k s
hi-story- 1.0	hh ih
hi-t- 1.0	hh ih
hi-tting- 1.0	hh ih
hiatus 1.0	hh ay ey t ih s
hibiscus 1.0	hh ih b ih s k ax s
hiccup 1.0	hh ih k ax p
hickories 1.0	hh ih k ax r iy z
hickory 1.0	hh ih k ax r iy
hid 1.0	hh ih d
hidden 1.0	hh ih d en
hide 1.0	hh ay d
hideous 1.0	hh ih d iy ih s
hides 1.0	hh ay d z
hiding 1.0	hh ay d ih ng
hierarchy 1.0	hh ay r aa r k iy
higgins 1.0	hh ih g ih n z
high 1.0	hh ay
high-er- 1.0	hh ay
high-level 1.0	hh ay l eh v ax l
high-powered 1.0	hh ay p aw er d
high-rise 1.0	hh ay r ay z
high-speed 1.0	hh ay s p iy d
high-tech 1.0	hh ay t eh k
higher 1.0	hh ay r
highest 1.0	hh ay ih s t
highland 1.0	hh ay l ae n d
highlands 1.0	hh ay l ae n d z
