!SIL	SIL_S
--CAN-SEGO/CANSECO-	S_B EH_I G_I OW_E
LIS-TENING-	L_B IH_I S_E #2
LISA	L_B IY_I S_I AX_E
LISP	L_B IH_I S_I P_E
LIST	L_B IH_I S_I T_E #2
LIST-ED-	L_B IH_I S_I T_E #3
LISTED	L_B IH_I S_I T_I IH_I D_E
LISTEN	L_B IH_I S_I IH_I N_E #2
LISTEN-ING-	L_B IH_I S_I N_E
LISTENABLE	L_B IH_I S_I IH_I N_I AX_I B_I AX_I L_E
LISTENED	L_B IH_I S_I IH_I N_I D_E
LISTENER	L_B IH_I S_I IH_I N_I ER_E
LISTENING	L_B IH_I S_I IH_I N_I IH_I NG_E #2
LISTENS	L_B IH_I S_I IH_I N_I Z_E
LISTER	L_B IH_I S_I T_I ER_E
LISTING	L_B IH_I S_I T_I IH_I NG_E
LISTINGS	L_B IH_I S_I T_I IH_I NG_I Z_E
LISTS	L_B IH_I S_I T_I S_E
LIT	L_B IH_I T_E #1
LIT-ERATURE-	L_B IH_I T_E #2
LITA	L_B IY_I T_I AX_E
LITER	L_B IY_I T_I ER_E
LITER'S	L_B IY_I T_I ER_I Z_E #1
LITERACY	L_B IH_I T_I AX_I R_I IH_I S_I IY_E
LITERALL-Y-	L_B IH_I T_I AX_I R_I AX_I L_E
LITERALLY	L_B IH_I T_I AX_I R_I AX_I L_I IY_E
LITERARY	L_B IH_I T_I AX_I R_I EH_I R_I IY_E
LITERATE	L_B IH_I T_I AX_I R_I IH_I T_E
LITERATURE	L_B IH_I T_I AX_I R_I AX_I CH_I ER_E
LITERS	L_B IY_I T_I ER_I Z_E #2
LITH-UANIA-	L_B IH_I TH_E
LITHUANIA	L_B IH_I TH_I UW_I EY_I N_I IY_I AX_E
LITIGATING	L_B IH_I T_I IH_I G_I EY_I T_I IH_I NG_E
LITIGATION	L_B IH_I T_I IH_I G_I EY_I SH_I IH_I N_E
LITIGATIONIST	L_B IH_I T_I IH_I G_I EY_I SH_I IH_I N_I IH_I S_I T_E
LITIGIOUS	L_B IH_I T_I IH_I JH_I IY_I IH_I S_E
LITMUS	L_B IH_I T_I M_I AX_I S_E
LITT-LE-	L_B IH_I T_E #3
LITTER	L_B IH_I T_I ER_E
LITTERBOX	L_B IH_I T_I ER_I B_I AA_I K_I S_E
LITTERING	L_B IH_I T_I AX_I R_I IH_I NG_E
LITTERS	L_B IH_I T_I ER_I Z_E
LITTLE	L_B IH_I T_I AX_I L_E #2
LITTLER	L_B IH_I T_I AX_I L_I ER_E
LITTLEST	L_B IH_I T_I AX_I L_I IH_I S_I T_E
LITTLETON	L_B IH_I T_I AX_I L_I T_I AX_I N_E
LIVABLE	L_B IH_I V_I AX_I B_I AX_I L_E #1
LIVE	L_B AY_I V_E #2
LIVE-D-	L_B IH_I V_E #2
LIVE-IN	L_B IH_I V_I IH_I N_E
LIVEABLE	L_B IH_I V_I AX_I B_I AX_I L_E #2
LIVED	L_B IH_I V_I D_E #2
LIVELIHOOD	L_B AY_I V_I L_I IY_I HH_I UH_I D_E
LIVELY	L_B AY_I V_I L_I IY_E
LIVEN	L_B AY_I V_I AX_I N_E
LIVER	L_B IH_I V_I ER_E
LIVES	L_B AY_I V_I Z_E
LIVESTOCK	L_B AY_I V_I S_I T_I AA_I K_E
LIVING	L_B IH_I V_I IH_I NG_E #2
LIVINGSTON	L_B IH_I V_I IH_I NG_I S_I T_I AX_I N_E
LIZ	L_B IH_I Z_E
LIZARD	L_B IH_I Z_I ER_I D_E
LIZARDS	L_B IH_I Z_I ER_I D_I Z_E
LL	EH_B L_I EH_I L_E
LLAMA	L_B AA_I M_I AX_E
LLOYD	L_B OY_I D_E
LO	L_B OW_E #3
LO-CAL-	L_B OW_E #4
LO-CALITY-	L_B OW_E #5
LO-CATION-	L_B OW_E #6
LO-NG-	L_B AO_E #5
LO-NGER-	L_B AO_E #6
LO-OK-	L_B UH_E #1
LO-RD-	L_B OW_E #7
LO-SE-	L_B UW_E #2
LO-SING-	L_B UW_E #3
LO-ST-	L_B AO_E #7
LO-T-	L_B AA_E #3
LO-TTERY-	L_B AA_E #4
LO-VE-	L_B AH_E #2
LO-VED-	L_B AH_E #3
LO-VES-	L_B AH_E #4
LOA	EH_B L_I OW_I EY_E
LOA-NED-	L_B OW_E #8
LOAD	L_B OW_I D_E
LOADED	L_B OW_I D_I IH_I D_E
LOADER	L_B OW_I D_I ER_E
LOADERS	L_B OW_I D_I ER_I Z_E
LOADING	L_B OW_I D_I IH_I NG_E
LOADS	L_B OW_I D_I Z_E
LOAF	L_B OW_I F_E
LOAFERS	L_B OW_I F_I ER_I Z_E
LOAFS	L_B OW_I F_I S_E
LOAM	L_B OW_I M_E
LOAN	L_B OW_I N_E #2
LOANED	L_B OW_I N_I D_E
LOANER	L_B OW_I N_I ER_E #1
LOANERS	L_B OW_I N_I ER_I Z_E
LOANING	L_B OW_I N_I IH_I NG_E
LOANS	L_B OW_I N_I Z_E
LOBBIES	L_B AA_I B_I IY_I Z_E
LOBBY	L_B AA_I B_I IY_E
LOBBYING	L_B AA_I B_I IY_I IH_I NG_E
LOBBYIST	L_B AA_I B_I IY_I IH_I S_I T_E
LOBBYISTS	L_B AA_I B_I IY_I IH_I S_I T_I S_E
LOBOTOMIES	L_B AX_I B_I AA_I T_I AX_I M_I IY_I Z_E
LOBSTER	L_B AA_I B_I S_I T_I ER_E #2
LOBSTERS	L_B AA_I B_I S_I T_I ER_I Z_E
LOC-AL-	L_B OW_I K_E
LOCAL	L_B OW_I K_I AX_I L_E
LOCALITY	L_B OW_I K_I AE_I L_I IH_I T_I IY_E
LOCALIZED	L_B OW_I K_I AX_I L_I AY_I Z_I D_E #2
LOCALLY	L_B OW_I K_I AX_I L_I IY_E
LOCALS	L_B OW_I K_I AX_I L_I Z_E
LOCATE	L_B OW_I K_I EY_I T_E
LOCATED	L_B OW_I K_I EY_I T_I IH_I D_E
LOCATION	L_B OW_I K_I EY_I SH_I IH_I N_E
LOCATIONS	L_B OW_I K_I EY_I SH_I IH_I N_I Z_E
LOCK	L_B AA_I K_E #2
LOCKED	L_B AA_I K_I T_E
LOCKER	L_B AA_I K_I ER_E
LOCKERS	L_B AA_I K_I ER_I Z_E
LOCKHAVEN	L_B AA_I K_I HH_I EY_I V_I AX_I N_E
LOCKHEED	L_B AA_I K_I HH_I IY_I D_E
LOCKING	L_B AA_I K_I IH_I NG_E
LOCKS	L_B AA_I K_I S_E #1
LOCKSMITH	L_B AA_I K_I S_I M_I IH_I TH_E
LOCOMOTIVE	L_B OW_I K_I AX_I M_I OW_I T_I IH_I V_E
LOCOMOTIVES	L_B OW_I K_I AX_I M_I OW_I T_I IH_I V_I Z_E
LOCUS	L_B OW_I K_I AX_I S_E
LOCUST	L_B OW_I K_I AX_I S_I T_E
LODGE	L_B AA_I JH_E
LODGES	L_B AA_I JH_I IH_I Z_E
LODGING	L_B AA_I JH_I IH_I NG_E #2
LOFT	L_B AO_I F_I T_E
LOG	L_B AO_I G_E
LOGAN	L_B OW_I G_I AX_I N_E
LOGAN'S	L_B OW_I G_I AX_I N_I Z_E
LOGBOOK	L_B AO_I G_I B_I UH_I K_E
LOGGED	L_B AO_I G_I D_E
LOGGIN'S	L_B AO_I G_I IH_I N_I Z_E
LOGIC	L_B AA_I JH_I IH_I K_E
LOGICAL	L_B AA_I JH_I IH_I K_I AX_I L_E
LOGICALLY	L_B AA_I JH_I IH_I K_I AX_I L_I IY_E
LOGISTIC	L_B AX_I JH_I IH_I S_I T_I IH_I K_E
LOGISTICAL	L_B AX_I JH_I IH_I S_I T_I IH_I K_I AX_I L_E
LOGISTICALLY	L_B AX_I JH_I IH_I S_I T_I IH_I K_I L_I IY_E
LOGISTICS	L_B AX_I JH_I IH_I S_I T_I IH_I K_I S_E
LOGO	L_B OW_I G_I OW_E
LOGS	L_B AO_I G_I Z_E
LOIN	L_B OY_I N_E
LOIS	L_B OW_I IH_I S_E
LOLLIPOP	L_B AA_I L_I IY_I P_I AA_I P_E
LOMAS	L_B OW_I M_I AX_I Z_E
LOMB	L_B AA_I M_E
LOMBARDI	L_B AX_I M_I B_I AA_I R_I D_I IY_E
LON-G-	L_B AO_I N_E #3
LONDON	L_B AH_I N_I D_I AX_I N_E
LONE	L_B OW_I N_E #3
LONELINESS	L_B OW_I N_I L_I IY_I N_I IH_I S_E
LONELY	L_B OW_I N_I L_I IY_E
LONER	L_B OW_I N_I ER_E #2
LONESOME	L_B OW_I N_I S_I AX_I M_E
LONG	L_B AO_I NG_E #2
LONG-ER-	L_B AO_I NG_E #3
LONG-TERM	L_B AO_I NG_I T_I ER_I M_E #2
LONGER	L_B AO_I NG_I G_I ER_E #2
LONGEST	L_B AO_I NG_I G_I IH_I S_I T_E
LONGEVITY	L_B AO_I N_I JH_I EH_I V_I IH_I T_I IY_E
LONGHAIR	L_B AO_I NG_I HH_I EY_I R_E
LONGHAIRED	L_B AO_I NG_I HH_I EY_I R_I D_E
LONGHORN	L_B AO_I NG_I HH_I OW_I R_I N_E
LONGHORNS	L_B AO_I NG_I HH_I OW_I R_I N_I Z_E
LONGVIEW	L_B AO_I NG_I V_I Y_I UW_E
LOO-K-	L_B UH_E #2
LOO-KED-	L_B UH_E #3
LOO-KING-	L_B UH_E #4
LOO-SE-	L_B UW_I S_E #1
LOOK	L_B UH_I K_E #2
LOOK-ING-	L_B UH_I K_E #3
LOOKED	L_B UH_I K_I T_E #2
LOOKING	L_B UH_I K_I IH_I NG_E #2
LOOKOUT	L_B UH_I K_I AW_I T_E
LOOKS	L_B UH_I K_I S_E #2
LOOM	L_B UW_I M_E
LOOMING	L_B UW_I M_I IH_I NG_E
LOONEY	L_B UW_I N_I IY_E #1
LOONY	L_B UW_I N_I IY_E #2
LOOP	L_B UW_I P_E #2
LOOPED	L_B UW_I P_I T_E
LOOPER	L_B UW_I P_I ER_E
LOOPERS	L_B UW_I P_I ER_I Z_E
LOOPHOLE	L_B UW_I P_I HH_I OW_I L_E
LOOPHOLES	L_B UW_I P_I HH_I OW_I L_I Z_E
LOOPS	L_B UW_I P_I S_E
LOOSE	L_B UW_I S_E #2
LOOSELY	L_B UW_I S_I L_I IY_E
LOOSEN	L_B UW_I S_I IH_I N_E
LOOSENING	L_B UW_I S_I IH_I N_I IH_I NG_E
LOOSER	L_B UW_I S_I ER_E
LOOSES	L_B UW_I S_I IH_I Z_E
LOOSEY-GOOSEY	L_B UW_I S_I IY_I G_I UW_I S_I IY_E
LOOSING	L_B UW_I S_I IH_I NG_E
LOOTER	L_B UW_I T_I ER_E
LOOTING	L_B UW_I T_I IH_I NG_E
LOP	L_B AA_I P_E
LOPPERS	L_B AA_I P_I ER_I Z_E
LOPPING	L_B AA_I P_I IH_I NG_E
LOPSIDED	L_B AA_I P_I S_I AY_I D_I IH_I D_E
LORD	L_B OW_I R_I D_E
LORDS	L_B OW_I R_I D_I Z_E
LORE	L_B OW_I R_E #2
LOREN	L_B OW_I R_I IH_I N_E
LORI	L_B OW_I R_I IY_E #2
LOS	L_B AO_I S_E #2
LOSE	L_B UW_I Z_E #1
LOSE-R-	L_B UW_I Z_E #2
LOSER	L_B UW_I Z_I ER_E
LOSERS	L_B UW_I Z_I ER_I Z_E
LOSES	L_B UW_I Z_I IH_I Z_E
LOSING	L_B UW_I Z_I IH_I NG_E #2
LOSS	L_B AO_I S_E #3
LOSSES	L_B AO_I S_I IH_I Z_E
LOST	L_B AO_I S_I T_E
LOT	L_B AA_I T_E #2
LOT'S	L_B AA_I T_I S_E #2
LOT-S-	L_B AA_I T_E #3
LOTION	L_B OW_I SH_I IH_I N_E
LOTIONS	L_B OW_I SH_I IH_I N_I Z_E
LOTS	L_B AA_I T_I S_E #3
LOTTE	L_B AA_I T_I AX_E
LOTTERIES	L_B AA_I T_I AX_I R_I IY_I Z_E #1
LOTTERY	L_B AA_I T_I AX_I R_I IY_E
LOTTERY'S	L_B AA_I T_I AX_I R_I IY_I Z_E #2
LOTTO	L_B AA_I T_I OW_E
LOTUS	L_B OW_I T_I IH_I S_E #2
LOU	L_B UW_E #4
LOUD	L_B AW_I D_E #2
LOUDER	L_B AW_I D_I ER_E
LOUDEST	L_B AW_I D_I IH_I S_I T_E
LOUDLY	L_B AW_I D_I L_I IY_E #2
LOUDSPEAKERS	L_B AW_I D_I S_I P_I IY_I K_I ER_I Z_E
LOUIS	L_B UW_I IH_I S_E #2
LOUISE	L_B UW_I IY_I Z_E #1
LOUISI-ANA-	L_B UW_I IY_I Z_I IY_E
LOUISIANA	L_B UW_I IY_I Z_I IY_I AE_I N_I AX_E
LOUISVILLE	L_B UW_I IH_I S_I V_I IH_I L_E #2
LOUISVILLE'S	L_B UW_I IH_I S_I V_I IH_I L_I Z_E #2
LOUNGE	L_B AW_I N_I JH_E
LOUSY	L_B AW_I Z_I IY_E
LOUVRE	L_B UW_I V_I R_I AX_E
LOVABLE	L_B AH_I V_I AX_I B_I AX_I L_E
LOVE	L_B AH_I V_E #2
LOVED	L_B AH_I V_I D_E
LOVELY	L_B AH_I V_I L_I IY_E
LOVER	L_B AH_I V_I ER_E
LOVES	L_B AH_I V_I Z_E
LOVETT	L_B AH_I V_I IH_I T_E
LOVEY	L_B AH_I V_I IY_E
LOVING	L_B AH_I V_I IH_I NG_E
LOVINGEST	L_B AH_I V_I IH_I NG_I G_I IH_I S_I T_E
LOVINGLY	L_B AH_I V_I IH_I NG_I L_I IY_E
LOW	L_B OW_E #9
LOW-CAL	L_B OW_I K_I AE_I L_E
LOW-ER-	L_B OW_E #10
LOWE'S	L_B OW_I Z_E #1
LOWELL	L_B OW_I AX_I L_E
LOWER	L_B AW_I ER_E #2
LOWER-CLASS	L_B OW_I ER_I K_I L_I AE_I S_E
LOWERED	L_B AW_I ER_I D_E
LOWERING	L_B AW_I AX_I R_I IH_I NG_E
LOWERS	L_B AW_I ER_I Z_E
LOWEST	L_B OW_I IH_I S_I T_E
LOWS	L_B OW_I Z_E #2
LOX	L_B AA_I K_I S_E #2
LOYAL	L_B OY_I AX_I L_E
LOYALTIES	L_B OY_I AX_I L_I T_I IY_I Z_E
LOYALTY	L_B OY_I AX_I L_I T_I IY_E
LP	EH_B L_I P_I IY_E
LP'S	EH_B L_I P_I IY_I S_E
LPGA	EH_B L_I P_I IY_I JH_I IY_I EY_E
LS	EH_B L_I EH_I S_E
LSATS	EH_B L_I S_I AE_I T_I S_E
LSD	EH_B L_I EH_I S_I D_I IY_E
LSU	EH_B L_I EH_I S_I Y_I UW_E
LTD	EH_B L_I T_I IY_I D_I IY_E
LTV	EH_B L_I T_I IY_I V_I IY_E
LU-BBOCK-	L_B AH_E #5
LU-LL-	L_B AH_E #6
LUAU	L_B UW_I AW_E
LUBBOCK	L_B AH_I B_I AX_I K_E #2
LUBE	L_B UW_I B_E
LUBRI-CATION-	L_B UW_I B_I R_I IH_E
LUBRICATE	L_B UW_I B_I R_I IH_I K_I EY_I T_E
LUBRICATED	L_B UW_I B_I R_I IH_I K_I EY_I T_I IH_I D_E
LUBRICATION	L_B UW_I B_I R_I IH_I K_I EY_I SH_I IH_I N_E
LUBY'S	L_B UW_I B_I IY_I Z_E
LUC	L_B UW_I K_E #1
LUCADO	L_B UW_I K_I AA_I D_I OW_E
LUCAS	L_B UW_I K_I AX_I S_E
LUCILLE	L_B UW_I S_I IY_I L_E
LUCK	L_B AH_I K_E #2
LUCK-Y-	L_B AH_I K_E #3
LUCKED	L_B AH_I K_I T_E
LUCKIER	L_B AH_I K_I IY_I ER_E
LUCKIEST	L_B AH_I K_I IY_I IH_I S_I T_E
LUCKILY	L_B AH_I K_I IH_I L_I IY_E
LUCKY	L_B AH_I K_I IY_E
LUCRATIVE	L_B UW_I K_I R_I AX_I T_I IH_I V_E
LUCY	L_B UW_I S_I IY_E
LUD-WIG-	L_B AH_I D_E
LUDICROUS	L_B UW_I D_I AX_I K_I R_I IH_I S_E
LUDLUM	L_B AH_I D_I L_I AX_I M_E
LUDLUM'S	L_B AH_I D_I L_I AX_I M_I Z_E
LUDWIG	L_B AH_I D_I W_I IH_I G_E
LUFKIN	L_B AH_I F_I K_I IH_I N_E
LUFT-HANSA-	L_B UH_I F_I T_E
LUFTHANSA	L_B UH_I F_I T_I HH_I AA_I N_I Z_I AX_E
LUFTHANSA'S	L_B UH_I F_I T_I HH_I AA_I N_I Z_I AX_I Z_E
LUG	L_B AH_I G_E
LUGGAGE	L_B AH_I G_I IH_I JH_E
LUGS	L_B AH_I G_I Z_E
LUIS	L_B UW_I IH_I S_E #3
LUISE	L_B UW_I IY_I Z_E #2
LUKE	L_B UW_I K_E #2
LUKEWARM	L_B UW_I K_I W_I OW_I R_I M_E
LULA	L_B UW_I L_I AX_E
LULL	L_B AH_I L_E
LUMBAR	L_B AH_I M_I B_I AA_I R_E
LUMBER	L_B AH_I M_I B_I ER_E
LUMINA	L_B UW_I M_I IH_I N_I AX_E
LUMP	L_B AH_I M_I P_E #2
LUMPED	L_B AH_I M_I P_I T_E
LUMPUR	L_B AH_I M_I P_I UH_I R_E
LUNACY	L_B UW_I N_I IH_I S_I IY_E
LUNAR	L_B UW_I N_I ER_E
LUNATIC	L_B UW_I N_I IH_I T_I IH_I K_E
LUNCH	L_B AH_I N_I CH_E
LUNCHEON	L_B AH_I N_I CH_I IH_I N_E
LUNCHEONS	L_B AH_I N_I CH_I IH_I N_I Z_E
LUNCHES	L_B AH_I N_I CH_I IH_I Z_E
LUNCHROOMS	L_B AH_I N_I CH_I R_I UW_I M_I Z_E
LUNCHTIME	L_B AH_I N_I CH_I T_I AY_I M_E
LUNG	L_B AH_I NG_E
LUNGS	L_B AH_I NG_I Z_E
LURCH	L_B ER_I CH_E
LURCHED	L_B ER_I CH_I T_E
LURE	L_B UH_I R_E
LURES	L_B UH_I R_I Z_E
LURING	L_B UH_I R_I IH_I NG_E
LUSH	L_B AH_I SH_E
LUST	L_B AH_I S_I T_E
LUST-BADER-	L_B UW_I S_I T_E
LUSTBADER	L_B UW_I S_I T_I B_I AA_I D_I ER_E
LUSTER	L_B AH_I S_I T_I ER_E
LUTED	L_B UW_I T_I IH_I D_E
LUTHER	L_B UW_I TH_I ER_E
LUTHERAN	L_B UW_I TH_I AX_I R_I IH_I N_E
LUTHERANS	L_B UW_I TH_I AX_I R_I IH_I N_I Z_E
LUX-URY-	L_B AH_I G_I ZH_E
LUXU-RIOUS-	L_B AH_I G_I ZH_I UH_E
LUXURIES	L_B AH_I G_I ZH_I AX_I R_I IY_I Z_E
LUXURIOUS	L_B AH_I G_I ZH_I UH_I R_I IY_I IH_I S_E
LUXURY	L_B AH_I G_I ZH_I AX_I R_I IY_E #2
LVN	EH_B L_I V_I IY_I EH_I N_E
LVNS	EH_B V_I IY_I EH_I N_I S_E
LX	EH_B L_I EH_I K_I S_E
LXI	EH_B L_I EH_I K_I S_I AY_E
LYCRA	L_B AY_I K_I R_I AX_E
LYDIAN	L_B IH_I D_I IY_I IH_I N_E
LYING	L_B AY_I IH_I NG_E
LYLE	L_B AY_I L_E
LYNCH	L_B IH_I N_I CH_E
LYNCH'S	L_B IH_I N_I CH_I IH_I Z_E
LYNCHED	L_B IH_I N_I CH_I T_E
LYNDA	L_B IH_I N_I D_I AX_E #2
LYNDON	L_B IH_I N_I D_I IH_I N_E
LYNN	L_B IH_I N_E
LYNYRD	L_B IH_I N_I ER_I D_E
LYRIC	L_B IH_I R_I IH_I K_E
LYRICS	L_B IH_I R_I IH_I K_I S_E
M	EH_B M_E #4
M'S	EH_B M_I Z_E #1
M-ACAW-	M_S #1
M-ACINTOSH-	M_S #2
M-AD-	M_S #3
M-ADAM-	M_S #4
M-ADE-	M_S #5
M-AGAZINE-	M_B AE_I G_I AX_I Z_I IY_I N_E #2
M-AGAZINES-	M_S #6
M-AGNIFIED-	M_S #7
M-AIL-	M_S #8
M-AIN-	M_S #9
M-AINLY-	M_S #10
M-AJOR-	M_S #11
M-AJORED-	M_S #12
M-AJORITY-	M_S #13
M-AKE-	M_S #14
M-AKES-	M_S #15
M-AKING-	M_S #16
M-AN-	M_S #17
M-ANAGEMENT-	M_S #18
M-ANAGER-	M_S #19
M-ANDATORY-	M_S #20
M-ANUAL-	M_S #21
M-ANUFACTURING-	M_S #22
M-ANY-	M_S #23
M-ARINES-	M_S #24
M-ARIO-	M_S #25
M-ARRIED-	M_S #26
M-ARVELOUS-	M_S #27
M-ASSACHUSETTS-	M_S #28
M-ASSES-	M_S #29
M-ATTER-	M_S #30
M-AVERICKS-	M_S #31
M-AXIMA-	M_S #32
M-AY-	M_S #33
M-AYBE-	M_S #34
M-AYOR-	M_S #35
M-E-	M_S #36
M-EAL-	M_S #37
M-EAN-	M_S #38
M-EANS-	M_S #39
M-EASURE-	M_S #40
M-EASUREMENT-	M_S #41
M-EAT-	M_S #42
M-ECHANIC-	M_S #43
M-EDIA-	M_S #44
M-EDICAL-	M_S #45
M-EDIUM-	M_S #46
M-EETING-	M_S #47
M-EL-	M_S #48
M-ELISSA-	M_S #49
M-ELT-	M_S #50
M-ELTED-	M_S #51
M-EMBER-	M_S #52
M-EMO-	M_S #53
M-EN-	M_S #54
M-ENTIONED-	M_S #55
M-ESS-	M_S #56
M-ET-	M_S #57
M-ETRIC-	M_S #58
M-EXICAN-	M_S #59
M-ICROWAVE-	M_S #60
M-IGHT-	M_S #61
M-ILD-	M_S #62
M-ILE-	M_S #63
M-ILEAGE-	M_S #64
M-ILES-	M_S #65
M-ILITARY-	M_S #66
M-ILK-	M_S #67
M-ILLION-	M_S #68
M-ILTON-	M_S #69
M-IND-	M_S #70
M-INE-	M_S #71
M-INIMUM-	M_S #72
M-ISERABLES-	M_S #73
M-ISS-	M_S #74
M-ISSED-	M_S #75
M-ISSIONS-	M_S #76
M-ISSOURI-	M_S #77
M-ISTAKES-	M_S #78
M-IXED-	M_S #79
M-ODEL-	M_S #80
M-ODEMS-	M_S #81
M-ODERATELY-	M_S #82
M-OM-	M_S #83
M-ONDAY-	M_S #84
M-ONEY-	M_S #85
M-ONTHS-	M_S #86
M-ORE-	M_S #87
M-ORNING-	M_S #88
M-ORTON-	M_S #89
M-OSCOW-	M_S #90
M-OSQUITO-	M_S #91
M-OST-	M_S #92
M-OSTLY-	M_S #93
M-OTHER'S-	M_B AH_I DH_I ER_I Z_E #2
M-OTHER-	M_S #94
M-OTHER-IN-LAW-	M_S #95
M-OTHERS-	M_S #96
M-OTOR-	M_S #97
M-OURNING-	M_S #98
M-OVE-	M_S #99
M-OVED-	M_S #100
M-OVEMENTS-	M_S #101
M-OVES-	M_S #102
M-OVIE-	M_S #103
M-OVIES-	M_S #104
M-OW-	M_S #105
M-OWING-	M_S #106
M-UCH-	M_S #107
M-UD-	M_S #108
M-ULCH-	M_S #109
M-ULTIMILLIONS-	M_S #110
M-URDER-	M_S #111
M-URDERED-	M_S #112
M-USCLE-	M_S #113
M-USIC-	M_S #114
M-USICALS-	M_S #115
M-UST-	M_S #116
M-UTT-	M_S #117
M-Y-	M_S #118
M-YSELF-	M_S #119
M-YSTERIES-	M_S #120
M-YSTERY-	M_B IH_I S_I T_I AX_I R_I IY_E #1
M-YSTIC-	M_S #121
MA	M_B AA_E #1
MA'AM	M_B AE_I M_E
MA-C-	M_B AE_E #1
MA-CAW-	M_B AX_E #1
MA-CHINE-	M_B AX_E #2
MA-DE-	M_B EY_E #2
MA-DISON-	M_B AE_E #2
MA-GAZINE-	M_B AE_E #3
MA-IL-	M_B EY_E #3
MA-IN-	M_B EY_E #4
MA-JOR-	M_B EY_E #5
MA-JORETTE-	M_B EY_E #6
MA-JORITY-	M_B AX_E #3
MA-KE-	M_B EY_E #7
MA-KES-	M_B EY_E #8
MA-KING-	M_B EY_E #9
MA-LE-	M_B EY_E #10
MA-N-	M_B AE_E #4
MA-NAGEMENT-	M_B AE_E #5
MA-NAGERS-	M_B AE_E #6
MA-NIPULATED-	M_B AX_E #4
MA-NY-	M_B EH_E #1
MA-RKETING-	M_B AA_E #2
MA-RRIAGE-	M_B AE_E #7
MA-STER'S-	M_S #122
MA-TCH-	M_B AE_E #8
MA-TCHED-	M_B AE_E #9
MA-TTER-	M_B AE_E #10
MA-TTERS-	M_B AE_E #11
MAACO	M_B EY_I K_I OW_E
MAC	M_B AE_I K_E #1
MACARONI	M_B AE_I K_I AX_I R_I OW_I N_I IY_E
MACAULAY	M_B AX_I K_I AO_I L_I IY_E
MACAW	M_B AX_I K_I AO_E
MACBRIDE	M_B AX_I K_I B_I R_I AY_I D_E
MACE	M_B EY_I S_E
MACEO	M_B AE_I S_I IY_I OW_E
MACGYVER	M_B AX_I G_I AY_I V_I ER_E #1
MACH	M_B AA_I K_E #1
MACH-INE-	M_B AX_I SH_E
MACHETE	M_B AX_I SH_I EH_I T_I IY_E
MACHINATIONS	M_B AE_I SH_I IH_I N_I EY_I SH_I IH_I N_I Z_E
MACHINE	M_B AX_I SH_I IY_I N_E #2
MACHINERY	M_B AX_I SH_I IY_I N_I AX_I R_I IY_E
MACHINES	M_B AX_I SH_I IY_I N_I Z_E
MACHINIST	M_B AX_I SH_I IY_I N_I IH_I S_I T_E
MACHO	M_B AA_I CH_I OW_E
MACINTOSH	M_B AE_I K_I IH_I N_I T_I AA_I SH_E
MACINTOSHES	M_B AE_I K_I IH_I N_I T_I AA_I SH_I IH_I Z_E
MACKEREL	M_B AE_I K_I AX_I R_I AX_I L_E
MACKINAC	M_B AE_I K_I IH_I N_I AO_I K_E
MACKINAW	M_B AE_I K_I IH_I N_I AO_E
MACKY	M_B AE_I K_I IY_E
MACLAINE	M_B AX_I K_I L_I EY_I N_E #1
MACLEAN	M_B AX_I K_I L_I EY_I N_E #2
MACNEIL	M_B AX_I K_I N_I IY_I L_E #1
MACON	M_B EY_I K_I AX_I N_E
MACREE	M_B AX_I K_I R_I IY_E
MACS	M_B AE_I K_I S_E #1
MACY'S	M_B EY_I S_I IY_I Z_E
MAD	M_B AE_I D_E #2
MADAGASCAR	M_B AE_I D_I AX_I G_I AE_I S_I K_I ER_E
MADAM	M_B AE_I D_I AX_I M_E
MADD	M_B AE_I D_E #3
MADE	M_B EY_I D_E #2
MADELINE	M_B AE_I D_I AX_I L_I IH_I N_E
MADGE	M_B AE_I JH_E
MADHOUSE	M_B AE_I D_I HH_I AW_I S_E
MADISON	M_B AE_I D_I IH_I S_I AX_I N_E
MADLY	M_B AE_I D_I L_I IY_E
MADMAN	M_B AE_I D_I M_I AE_I N_E
MADONNA	M_B AX_I D_I AA_I N_I AX_E
MADONNA'S	M_B AX_I D_I AA_I N_I AX_I Z_E
MAE	M_B EY_E #11
MAF-IA-	M_B AA_I F_E
MAFIA	M_B AA_I F_I IY_I AX_E
MAG-AZINE-	M_B AE_I G_E #1
MAG-NETISM-	M_B AE_I G_E #2
MAGA-ZINES-	M_B AE_I G_I AX_E
MAGAZI-NES-	M_B AE_I G_I AX_I Z_I IY_E
MAGAZINE	M_B AE_I G_I AX_I Z_I IY_I N_E #3
MAGAZINE'S	M_B AE_I G_I AX_I Z_I IY_I N_I Z_E #2
MAGAZINES	M_B AE_I G_I AX_I Z_I IY_I N_I Z_E #3
MAGEE	M_B AX_I G_I IY_E #1
MAGENTA	M_B AX_I JH_I EH_I N_I T_I AX_E
MAGGIE	M_B AE_I G_I IY_E
MAGIC	M_B AE_I JH_I IH_I K_E
MAGICAL	M_B AE_I JH_I IH_I K_I AX_I L_E
MAGICALLY	M_B AE_I JH_I IH_I K_I L_I IY_E
MAGISTRATE	M_B AE_I JH_I IH_I S_I T_I R_I EY_I T_E
MAGNET	M_B AE_I G_I N_I IH_I T_E
MAGNETIC	M_B AE_I G_I N_I EH_I T_I IH_I K_E
MAGNETISM	M_B AE_I G_I N_I IH_I T_I IH_I Z_I AX_I M_E
